name,latStart,longStart,latStop,longStop,ht,lt,status,att
leadville_houses,-106609955,39050919,-106289291,39352618,100000,100000,100000,
leadville_houses_recentlysold,-106609955,39050919,-106289291,39352618,100000,100000,001000,
leadvile_land,-106609955,39050919,-106289291,39352618,000010,110000,100000,
leadville_land_recentlysold,-106609955,39050919,-106289291,39352618,000010,110000,001000,
lafayette_houses,-105157854,39951986,-105007589,40075312,100000,100000,100000,
lafayette_houses_recentlysold,-105157854,39951986,-105007589,40075312,100000,100000,001000,
lafayette_land,-105157854,39951986,-105007589,40075312,000010,110000,100000,
lafayette_land_recentlysold,-105157854,39951986,-105007589,40075312,000010,110000,001000,
Denver_80021_houses,-105045261,39745227,-104999814,39784845,100000,100000,100000,
Denver_80021_houses_recentlysold,-105045261,39745227,-104999814,39784845,100000,100000,001000,
Denver_80021_land,-105045261,39745227,-104999814,39784845,000010,110000,100000,
Denver_80021_land_recentlysold,-105045261,39745227,-104999814,39784845,000010,110000,001000,
lakelivingston_houses,-95425873,30606152,-95062294,30960388,100000,100000,100000,waterfront
lakelivingston_houses_recentlysold,-95425873,30606152,-95062294,30960388,100000,100000,001000,waterfront
lakelivingston_land,-95425873,30606152,-95062294,30960388,000010,110000,100000,waterfront
lakelivingston_land_recentlysold,-95425873,30606152,-95062294,30960388,000010,110000,001000,waterfront
winterpark_condostownhouses,-105835376,39877040,-105751433,39956103,110001,100000,100000,
winterpark_condostownhouses_recentlysold,-105835376,39877040,-105751433,39956103,110001,100000,001000,
matagorda_houses,-96942673,27662244,-95599594,29113176,100000,100000,100000,waterfront
matagorda_houses_recentlysold,-96942673,27662244,-95599594,29113176,100000,100000,001000,waterfront
matagorda_land,-96942673,27662244,-95599594,29113176,000010,110000,100000,waterfront
matagorda_land_recentlysold,-96942673,27662244,-95599594,29113176,000010,110000,001000,waterfront
